province;red;green;blue;x;x
1;128;34;64;Isswyn;x
2;0;36;128;Tse' Helwi;x
3;128;38;192;Tidherlan;x
4;0;40;255;Hunvilan;x
5;128;42;0;Cyne Islands;x
6;0;44;64;Pawic;x
7;129;46;128;Lyem;x
8;1;48;192;Tse' Osia;x
9;129;50;255;Vor Casow;x
10;1;52;0;Asheng;x
11;129;54;64;Elbryc Islands;x
12;1;56;128;Tso' Ochyrst;x
13;129;58;192;Vor' Limor;x
14;2;60;255;Rarycg;x
15;130;62;0;Vor Gahlea;x
16;2;64;64;Tso' Anwic;x
17;130;66;128;Ladun;x
18;2;68;192;Caham;x
19;130;70;255;Bileah;x
20;2;72;0;Tso' Piwic;x
21;131;74;64;Mahryst;x
22;3;76;128;Vor' Swamor;x
23;131;78;192;Uhryn Archipelago;x
24;3;80;255;Taburn;x
25;131;82;0;Salhyrst;x
26;3;84;64;Bavic Tor;x
27;131;86;128;Tso' Hamoor;x
28;4;88;192;Nyland;x
29;132;90;255;Tavastland;x
30;4;92;0;Sistow;x
31;132;94;64;Cacewin;x
32;4;96;128;Tso' Calor;x
33;132;98;192;Addwyr;x
34;4;100;255;Ingermanland;x
35;133;102;0;Ösel;x
36;5;104;64;Estland;x
37;133;106;128;Livland;x
38;5;108;192;Riga;x
39;133;110;255;Kurland;x
40;5;112;0;Memel;x
41;133;114;64;Ostpreussen;x
42;6;116;128;Warmia;x
43;134;118;192;Danzig;x
44;6;120;255;Hamburg;x
45;134;122;0;Lübeck;x
46;6;124;64;Mecklenburg;x
47;134;126;128;Stralsund;x
48;6;128;192;Kolberg;x
49;135;130;255;Neumark;x
1929;62;210;252;Western Norwegian Sea;x
2335;9;115;187;Tamara;x
2336;238;16;102;Falaj;x
2337;255;21;245;Unaizah;x
2338;201;24;126;Hafar;x
2339;157;34;114;Yabrin;x
2340;91;4;48;Grane;x
2341;213;231;178;Sharqiyah;x
2342;56;16;31;Wusta;x
2343;117;18;67;Hadramawt;x
2344;210;25;111;Al Jawf;x
2345;240;238;129;Ahqaf;x
2346;252;183;112;Jazan;x
2347;0;120;94;Hofuf;x
2348;108;157;64;Chios;x
2349;71;208;47;Kizil-Su;x
2350;151;50;205;Konjikala;x
2351;169;158;86;Shekty;x
2352;103;104;152;Alty-Kuduk;x
2353;57;202;53;Tortkara;x
2354;155;167;88;Shegendyk;x
2355;189;174;66;Narym;x
2356;39;216;132;Shymkent;x
